"year","month","supply-1","demand-1","supply-2","demand-2","supply-3","demand-3","supply-4","demand-4","supply-5","demand-5","supply-6","demand-6","supply-7","demand-7","supply-8","demand-8","supply-9","demand-9","supply-10","demand-10","supply-11","demand-11","supply-12","demand-12","user-1","demand"
2013,7,6633007,3353227,7138916,3056016,6788939,3388267,7147439,2898899,6390399,3545094,7281669,3239868,7130008,3635194,6881245,3390760,7056323,3759542,6895284,3546354,7174241,3559496,7477575,3129726,6452171,3144042
2013,8,6929711,3144042,6633007,3353227,7138916,3056016,6788939,3388267,7147439,2898899,6390399,3545094,7281669,3239868,7130008,3635194,6881245,3390760,7056323,3759542,6895284,3546354,7174241,3559496,6452171,3591115
2013,9,6758769,3591115,6929711,3144042,6633007,3353227,7138916,3056016,6788939,3388267,7147439,2898899,6390399,3545094,7281669,3239868,7130008,3635194,6881245,3390760,7056323,3759542,6895284,3546354,6452171,3396553
2013,10,6608475,3396553,6758769,3591115,6929711,3144042,6633007,3353227,7138916,3056016,6788939,3388267,7147439,2898899,6390399,3545094,7281669,3239868,7130008,3635194,6881245,3390760,7056323,3759542,6452171,3844985
2013,11,6661899,3844985,6608475,3396553,6758769,3591115,6929711,3144042,6633007,3353227,7138916,3056016,6788939,3388267,7147439,2898899,6390399,3545094,7281669,3239868,7130008,3635194,6881245,3390760,6452171,3369059
2013,12,6547207,3369059,6661899,3844985,6608475,3396553,6758769,3591115,6929711,3144042,6633007,3353227,7138916,3056016,6788939,3388267,7147439,2898899,6390399,3545094,7281669,3239868,7130008,3635194,6452171,3610417
2014,1,6866396,3610417,6547207,3369059,6661899,3844985,6608475,3396553,6758769,3591115,6929711,3144042,6633007,3353227,7138916,3056016,6788939,3388267,7147439,2898899,6390399,3545094,7281669,3239868,6550080,3188567
2014,2,6980313,3188567,6866396,3610417,6547207,3369059,6661899,3844985,6608475,3396553,6758769,3591115,6929711,3144042,6633007,3353227,7138916,3056016,6788939,3388267,7147439,2898899,6390399,3545094,6550080,3408097
2014,3,6163486,3408097,6980313,3188567,6866396,3610417,6547207,3369059,6661899,3844985,6608475,3396553,6758769,3591115,6929711,3144042,6633007,3353227,7138916,3056016,6788939,3388267,7147439,2898899,6550080,2968458
2014,4,6797151,2968458,6163486,3408097,6980313,3188567,6866396,3610417,6547207,3369059,6661899,3844985,6608475,3396553,6758769,3591115,6929711,3144042,6633007,3353227,7138916,3056016,6788939,3388267,6550080,3606122
2014,5,6533151,3606122,6797151,2968458,6163486,3408097,6980313,3188567,6866396,3610417,6547207,3369059,6661899,3844985,6608475,3396553,6758769,3591115,6929711,3144042,6633007,3353227,7138916,3056016,6550080,3177309
2014,6,6762295,3177309,6533151,3606122,6797151,2968458,6163486,3408097,6980313,3188567,6866396,3610417,6547207,3369059,6661899,3844985,6608475,3396553,6758769,3591115,6929711,3144042,6633007,3353227,6550080,3577117
2014,7,6435707,3577117,6762295,3177309,6533151,3606122,6797151,2968458,6163486,3408097,6980313,3188567,6866396,3610417,6547207,3369059,6661899,3844985,6608475,3396553,6758769,3591115,6929711,3144042,6550080,3142308
2014,8,6601233,3142308,6435707,3577117,6762295,3177309,6533151,3606122,6797151,2968458,6163486,3408097,6980313,3188567,6866396,3610417,6547207,3369059,6661899,3844985,6608475,3396553,6758769,3591115,6550080,3684164
2014,9,6586985,3684164,6601233,3142308,6435707,3577117,6762295,3177309,6533151,3606122,6797151,2968458,6163486,3408097,6980313,3188567,6866396,3610417,6547207,3369059,6661899,3844985,6608475,3396553,6550080,3461602
2014,10,6388256,3461602,6586985,3684164,6601233,3142308,6435707,3577117,6762295,3177309,6533151,3606122,6797151,2968458,6163486,3408097,6980313,3188567,6866396,3610417,6547207,3369059,6661899,3844985,6550080,3755108
2014,11,6520348,3755108,6388256,3461602,6586985,3684164,6601233,3142308,6435707,3577117,6762295,3177309,6533151,3606122,6797151,2968458,6163486,3408097,6980313,3188567,6866396,3610417,6547207,3369059,6550080,3312711
2014,12,6482996,3312711,6520348,3755108,6388256,3461602,6586985,3684164,6601233,3142308,6435707,3577117,6762295,3177309,6533151,3606122,6797151,2968458,6163486,3408097,6980313,3188567,6866396,3610417,6550080,3765393
2015,1,6994684,3765393,6482996,3312711,6520348,3755108,6388256,3461602,6586985,3684164,6601233,3142308,6435707,3577117,6762295,3177309,6533151,3606122,6797151,2968458,6163486,3408097,6980313,3188567,6650695,3327876
2015,2,7421946,3327876,6994684,3765393,6482996,3312711,6520348,3755108,6388256,3461602,6586985,3684164,6601233,3142308,6435707,3577117,6762295,3177309,6533151,3606122,6797151,2968458,6163486,3408097,6650695,3516446
2015,3,6471948,3516446,7421946,3327876,6994684,3765393,6482996,3312711,6520348,3755108,6388256,3461602,6586985,3684164,6601233,3142308,6435707,3577117,6762295,3177309,6533151,3606122,6797151,2968458,6650695,2919207
2015,4,7022306,2919207,6471948,3516446,7421946,3327876,6994684,3765393,6482996,3312711,6520348,3755108,6388256,3461602,6586985,3684164,6601233,3142308,6435707,3577117,6762295,3177309,6533151,3606122,6650695,3649790
2015,5,6850783,3649790,7022306,2919207,6471948,3516446,7421946,3327876,6994684,3765393,6482996,3312711,6520348,3755108,6388256,3461602,6586985,3684164,6601233,3142308,6435707,3577117,6762295,3177309,6650695,3168004
2015,6,7103554,3168004,6850783,3649790,7022306,2919207,6471948,3516446,7421946,3327876,6994684,3765393,6482996,3312711,6520348,3755108,6388256,3461602,6586985,3684164,6601233,3142308,6435707,3577117,6650695,3417987
2015,7,6825515,3417987,7103554,3168004,6850783,3649790,7022306,2919207,6471948,3516446,7421946,3327876,6994684,3765393,6482996,3312711,6520348,3755108,6388256,3461602,6586985,3684164,6601233,3142308,6650695,3127055
2015,8,7015276,3127055,6825515,3417987,7103554,3168004,6850783,3649790,7022306,2919207,6471948,3516446,7421946,3327876,6994684,3765393,6482996,3312711,6520348,3755108,6388256,3461602,6586985,3684164,6650695,3776826
2015,9,6807766,3776826,7015276,3127055,6825515,3417987,7103554,3168004,6850783,3649790,7022306,2919207,6471948,3516446,7421946,3327876,6994684,3765393,6482996,3312711,6520348,3755108,6388256,3461602,6650695,3476312
2015,10,6540504,3476312,6807766,3776826,7015276,3127055,6825515,3417987,7103554,3168004,6850783,3649790,7022306,2919207,6471948,3516446,7421946,3327876,6994684,3765393,6482996,3312711,6520348,3755108,6650695,3702500
